Free 5.6 23 500 100 100 21.7 18 0 2 0.3 0.13 0.6 0.17
Classic 1.7 4 100 100 100 25.0 3 0 1 0.3 0.18 0.84 0.43
|One Life| 2.8 3 200 100 100 66.7 1 2 2 2.0 0.16 2.21 0.93
|One Life| 2.4 2 100 100 100 50.0 1 1 1 1.0 1.04 1.36 1.2
Free 9.4 31 500 100 100 16.1 26 0 2 0.2 0.17 0.71 0.21
